Date;Open;High;Low;Close;Adj Close;Volume
02/01/1962;7.374124;7.374124;7.291268;7.291268;1.573411;407940
03/01/1962;7.291268;7.355003;7.291268;7.355003;1.587163;305955
04/01/1962;7.355003;7.355003;7.278521;7.281708;1.571348;274575
05/01/1962;7.272148;7.272148;7.125558;7.138305;1.540403;384405
08/01/1962;7.131931;7.131931;6.9471;7.004461;1.511519;572685
09/01/1962;7.036329;7.176546;7.036329;7.087317;1.529399;517770
10/01/1962;7.100064;7.131931;7.100064;7.100064;1.532148;313800
11/01/1962;7.119184;7.176546;7.119184;7.176546;1.548654;337335
12/01/1962;7.189293;7.24028;7.189293;7.189293;1.551405;462855
15/01/1962;7.214786;7.237094;7.214786;7.22116;1.558282;266730
16/01/1962;7.214786;7.214786;7.144678;7.144678;1.541777;266730
17/01/1962;7.112811;7.112811;7.010835;7.029955;1.517019;439320
18/01/1962;7.049076;7.119184;7.049076;7.049076;1.521146;392250
19/01/1962;7.049076;7.068196;6.972594;7.055449;1.522522;423630
22/01/1962;7.055449;7.125558;7.036329;7.042702;1.519772;290265
23/01/1962;7.039516;7.049076;6.959847;6.972594;1.504643;392250
24/01/1962;6.972594;7.010835;6.93754;7.010835;1.512894;431475
25/01/1962;7.010835;7.068196;6.921606;6.934353;1.49639;337335
26/01/1962;6.934353;6.959847;6.896112;6.899299;1.488825;258885
29/01/1962;6.899299;6.9471;6.781389;6.781389;1.463382;611910
30/01/1962;6.781389;6.81963;6.695347;6.695347;1.444815;776655
31/01/1962;6.762269;6.908859;6.762269;6.908859;1.490888;800190
01/02/1962;6.978967;7.087317;6.978967;7.068196;1.525273;674670
02/02/1962;7.068196;7.112811;7.036329;7.112811;1.5349;533460
05/02/1962;7.112811;7.112811;6.985341;7.023582;1.515645;329490
06/02/1962;7.023582;7.036329;6.998088;7.029955;1.517227;274575
07/02/1962;7.036329;7.07457;7.036329;7.036329;1.518603;266730
08/02/1962;7.036329;7.07457;7.036329;7.042702;1.519978;23535
09/02/1962;7.042702;7.09369;7.010835;7.09369;1.530982;455010
12/02/1962;7.09369;7.151052;7.087317;7.100064;1.532357;298110
13/02/1962;7.100064;7.106437;6.985341;6.985341;1.507599;274575
14/02/1962;6.985341;7.010835;6.959847;6.972594;1.504846;219660
15/02/1962;6.972594;6.972594;6.940727;6.9471;1.499346;243195
16/02/1962;6.9471;6.972594;6.940727;6.940727;1.49797;235350
19/02/1962;6.940727;6.972594;6.857871;6.870618;1.48284;298110
20/02/1962;6.873805;6.908859;6.873805;6.873805;1.483525;305955
21/02/1962;6.873805;6.921606;6.822817;6.822817;1.472522;384405
23/02/1962;6.832377;6.857871;6.832377;6.845124;1.477336;305955
26/02/1962;6.845124;6.851498;6.806883;6.81963;1.471834;313800
27/02/1962;6.81963;6.876992;6.781389;6.832377;1.474585;368715
28/02/1962;6.832377;6.845124;6.794136;6.845124;1.477336;282420
01/03/1962;6.870618;6.92798;6.870618;6.92798;1.495219;298110
02/03/1962;6.985341;7.023582;6.985341;6.985341;1.507599;258885
05/03/1962;6.985341;6.985341;6.934353;6.959847;1.502096;376560
06/03/1962;6.959847;6.991714;6.9471;6.966221;1.503471;196125
07/03/1962;6.966221;6.988528;6.9471;6.988528;1.508286;133365
08/03/1962;6.988528;7.004461;6.9471;7.004461;1.511725;196125
09/03/1962;7.010835;7.049076;7.010835;7.049076;1.521353;305955
12/03/1962;7.049076;7.068196;7.023582;7.042702;1.519978;298110
13/03/1962;7.042702;7.042702;7.010835;7.036329;1.518603;133365
14/03/1962;7.036329;7.055449;7.010835;7.023582;1.515853;211815
15/03/1962;7.023582;7.061823;7.010835;7.010835;1.513101;258885
16/03/1962;7.010835;7.042702;7.010835;7.042702;1.519978;172590
19/03/1962;7.055449;7.087317;7.055449;7.061823;1.524105;392250
20/03/1962;7.049076;7.049076;7.017208;7.017208;1.514475;172590
21/03/1962;7.017208;7.036329;6.998088;7.023582;1.515853;274575
22/03/1962;6.998088;6.998088;6.9471;6.9471;1.499346;251040
23/03/1962;6.953474;6.985341;6.953474;6.972594;1.504846;196125
26/03/1962;6.972594;6.998088;6.959847;6.969407;1.50416;141210
27/03/1962;6.953474;6.953474;6.832377;6.838751;1.47596;368715
28/03/1962;6.845124;6.896112;6.845124;6.876992;1.484215;345180
29/03/1962;6.876992;6.908859;6.857871;6.857871;1.480087;243195
30/03/1962;6.845124;6.845124;6.759082;6.79095;1.465643;462855
02/04/1962;6.787763;6.787763;6.698534;6.698534;1.4457;392250
03/04/1962;6.692161;6.692161;6.462715;6.532823;1.409935;957090
04/04/1962;6.532823;6.590185;6.504143;6.504143;1.403745;682515
05/04/1962;6.539197;6.641173;6.539197;6.641173;1.43332;957090
06/04/1962;6.641173;6.692161;6.590185;6.634799;1.431944;455010
09/04/1962;6.634799;6.67304;6.590185;6.641173;1.43332;23535
10/04/1962;6.641173;6.666667;6.602932;6.666667;1.438821;274575
11/04/1962;6.666667;6.717655;6.577438;6.577438;1.419564;556995
12/04/1962;6.577438;6.590185;6.50733;6.50733;1.404433;423630
13/04/1962;6.50733;6.602932;6.500956;6.602932;1.425067;658980
16/04/1962;6.602932;6.647546;6.52645;6.596558;1.42369;533460
17/04/1962;6.596558;6.628426;6.564691;6.628426;1.430568;313800
18/04/1962;6.628426;6.685787;6.609305;6.615679;1.427817;447165
19/04/1962;6.615679;6.641173;6.590185;6.615679;1.427817;407940
23/04/1962;6.615679;6.622052;6.583811;6.609305;1.426441;329490
24/04/1962;6.609305;6.650733;6.596558;6.602932;1.425067;478545
25/04/1962;6.602932;6.628426;6.532823;6.532823;1.409935;486390
26/04/1962;6.52645;6.52645;6.367113;6.367113;1.374171;972780
27/04/1962;6.367113;6.437221;6.118547;6.188655;1.335656;1710210
30/04/1962;6.188655;6.246017;5.736138;5.787126;1.248996;2455485
01/05/1962;5.787126;5.920969;5.481198;5.889101;1.271004;5562105
02/05/1962;5.991077;6.169535;5.991077;6.022945;1.299891;2675145
03/05/1962;6.022945;6.169535;5.97833;6.147228;1.326715;1427790
04/05/1962;6.147228;6.195029;6.086679;6.195029;1.337031;815880
07/05/1962;6.195029;6.24283;6.057999;6.057999;1.307457;870795
08/05/1962;6.050032;6.050032;5.857234;5.857234;1.264327;1082610
09/05/1962;5.857234;5.911409;5.736138;5.748885;1.240939;1678830
10/05/1962;5.748885;5.860421;5.723391;5.774379;1.246442;2000475
11/05/1962;5.774379;5.863607;5.659656;5.68515;1.227182;1984785
14/05/1962;5.68515;5.793499;5.586361;5.793499;1.250569;2855580
15/05/1962;5.793499;5.901848;5.761632;5.761632;1.243689;1765125
16/05/1962;5.761632;5.857234;5.761632;5.825366;1.257447;925710
17/05/1962;5.825366;5.825366;5.697897;5.723391;1.235435;1019850
18/05/1962;5.723391;5.755258;5.678776;5.755258;1.242314;768810
21/05/1962;5.755258;5.755258;5.68515;5.736138;1.238187;415785
22/05/1962;5.729764;5.729764;5.544933;5.544933;1.196913;1051230
23/05/1962;5.544933;5.583174;5.29318;5.29318;1.14257;3028170
24/05/1962;5.29318;5.43021;5.073295;5.073295;1.095108;4346130
25/05/1962;5.073295;5.188018;4.945825;5.079669;1.096483;4503030
28/05/1962;5.060548;5.060548;4.525175;4.601657;0.993301;4518720
29/05/1962;4.659018;4.933078;4.659018;4.882091;1.053834;4040175
31/05/1962;4.971319;5.098789;4.971319;5.003187;1.079973;4322595
01/06/1962;4.984066;4.984066;4.878904;4.907584;1.059338;2526090
04/06/1962;4.84385;4.84385;4.58891;4.58891;0.99055;1898490
05/06/1962;4.58891;4.767368;4.499681;4.641491;1.0019;3310590
