Date;Open;High;Low;Close;Adj Close;Volume
02/01/1962;0;1.589844;1.578125;1.578125;0.09666;902400
03/01/1962;0;1.601563;1.578125;1.601563;0.098095;1200000
04/01/1962;0;1.613281;1.597656;1.605469;0.098335;1088000
05/01/1962;0;1.613281;1.566406;1.570313;0.096181;1222400
08/01/1962;0;1.582031;1.546875;1.566406;0.095942;1388800
09/01/1962;0;1.578125;1.558594;1.5625;0.095703;1065600
10/01/1962;0;1.5625;1.550781;1.554688;0.095224;828800
11/01/1962;0;1.570313;1.558594;1.570313;0.096181;617600
12/01/1962;0;1.59375;1.574219;1.59375;0.097617;1398400
15/01/1962;0;1.59375;1.578125;1.59375;0.097617;966400
16/01/1962;0;1.59375;1.582031;1.582031;0.096899;569600
17/01/1962;0;1.59375;1.5625;1.574219;0.096421;832000
18/01/1962;0;1.582031;1.566406;1.578125;0.09666;844800
19/01/1962;0;1.589844;1.578125;1.589844;0.097378;720000
22/01/1962;0;1.59375;1.585938;1.59375;0.097617;745600
23/01/1962;0;1.589844;1.578125;1.582031;0.096899;908800
24/01/1962;0;1.585938;1.570313;1.582031;0.096899;841600
25/01/1962;0;1.59375;1.582031;1.585938;0.097138;1078400
26/01/1962;0;1.59375;1.582031;1.59375;0.097617;832000
29/01/1962;0;1.621094;1.59375;1.617188;0.099052;1462400
30/01/1962;0;1.632813;1.621094;1.632813;0.100009;1843200
31/01/1962;0;1.65625;1.636719;1.65625;0.101445;1718400
01/02/1962;0;1.6875;1.65625;1.6875;0.103359;2371200
02/02/1962;0;1.722656;1.683594;1.722656;0.105512;2310400
05/02/1962;0;1.75;1.726563;1.738281;0.106469;1977600
06/02/1962;0;1.734375;1.710938;1.714844;0.105034;1446400
07/02/1962;0;1.710938;1.683594;1.710938;0.105953;1126400
08/02/1962;0;1.71875;1.707031;1.710938;0.105953;684800
09/02/1962;0;1.699219;1.691406;1.691406;0.104743;563200
12/02/1962;0;1.699219;1.6875;1.695313;0.104985;428800
13/02/1962;0;1.695313;1.660156;1.683594;0.10426;873600
14/02/1962;0;1.703125;1.671875;1.703125;0.105469;636800
15/02/1962;0;1.710938;1.695313;1.707031;0.105711;742400
16/02/1962;0;1.71875;1.703125;1.710938;0.105953;816000
19/02/1962;0;1.746094;1.710938;1.738281;0.107646;1657600
20/02/1962;0;1.75;1.730469;1.746094;0.10813;800000
21/02/1962;0;1.746094;1.71875;1.71875;0.106437;681600
23/02/1962;0;1.722656;1.707031;1.722656;0.106679;793600
26/02/1962;0;1.726563;1.710938;1.710938;0.105953;640000
27/02/1962;0;1.738281;1.710938;1.726563;0.106921;908800
28/02/1962;0;1.757813;1.726563;1.730469;0.107162;2131200
01/03/1962;0;1.746094;1.722656;1.742188;0.107888;899200
02/03/1962;0;1.746094;1.726563;1.726563;0.106921;838400
05/03/1962;0;1.726563;1.71875;1.71875;0.106437;1011200
06/03/1962;0;1.71875;1.710938;1.714844;0.106195;550400
07/03/1962;0;1.71875;1.699219;1.707031;0.105711;985600
08/03/1962;0;1.691406;1.667969;1.679688;0.104018;1190400
09/03/1962;0;1.695313;1.683594;1.691406;0.104743;825600
12/03/1962;0;1.683594;1.667969;1.679688;0.104018;611200
13/03/1962;0;1.6875;1.675781;1.683594;0.10426;656000
14/03/1962;0;1.695313;1.679688;1.695313;0.104985;681600
15/03/1962;0;1.726563;1.695313;1.722656;0.106679;1107200
16/03/1962;0;1.71875;1.703125;1.714844;0.106195;624000
19/03/1962;0;1.722656;1.703125;1.71875;0.106437;809600
20/03/1962;0;1.71875;1.691406;1.699219;0.105227;822400
21/03/1962;0;1.703125;1.691406;1.695313;0.104985;764800
22/03/1962;0;1.699219;1.6875;1.691406;0.104743;633600
23/03/1962;0;1.695313;1.6875;1.695313;0.104985;768000
26/03/1962;0;1.699219;1.691406;1.695313;0.104985;678400
27/03/1962;0;1.703125;1.6875;1.695313;0.104985;694400
28/03/1962;0;1.714844;1.695313;1.710938;0.105953;688000
29/03/1962;0;1.71875;1.710938;1.710938;0.105953;604800
30/03/1962;0;1.710938;1.703125;1.707031;0.105711;809600
02/04/1962;0;1.714844;1.703125;1.707031;0.105711;716800
03/04/1962;0;1.707031;1.671875;1.683594;0.10426;931200
04/04/1962;0;1.683594;1.652344;1.664063;0.10305;1033600
05/04/1962;0;1.671875;1.640625;1.671875;0.103534;700800
06/04/1962;0;1.683594;1.660156;1.664063;0.10305;569600
09/04/1962;0;1.671875;1.632813;1.632813;0.101115;716800
10/04/1962;0;1.664063;1.625;1.664063;0.10305;937600
11/04/1962;0;1.691406;1.664063;1.664063;0.10305;720000
12/04/1962;0;1.65625;1.644531;1.644531;0.101841;947200
13/04/1962;0;1.664063;1.636719;1.664063;0.10305;710400
16/04/1962;0;1.664063;1.644531;1.660156;0.102808;812800
17/04/1962;0;1.683594;1.652344;1.683594;0.10426;1110400
18/04/1962;0;1.707031;1.6875;1.707031;0.105711;1084800
