Stocks,Max,Min,Mean,STD
AAL,129.53338103007917,83.53228239531978,104.79253570646964,10.780915899880844
AAPL,84.82311656425249,37.8327494598087,66.72658471273499,10.963567266997739
AMZN,88.16410713323968,53.50325035653837,70.98929559853948,10.319825541698199
BAC,49.01419479536361,27.417938127253706,38.14690248406097,6.108710856272475
F,102.30816608580699,16.023419964108403,67.30915579858922,21.898727926506417
GOOG,61.09461526198395,38.15455897019866,49.07447348384993,6.0231387549561415
IBM,58.1201772699522,30.926948288213545,46.84700223441503,6.849626077170845
INTC,63.022058475629244,42.753738204927146,54.700362779305244,4.745325856302281
NVDA,265.26575716579316,116.17606137604787,221.19640552238823,27.810707783562624
XOM,90.098719374723,44.176646387366844,67.6982328529002,12.152769511754219
