Stocks,Max,Min,Mean,STD
AAL,117.69675570950452,35.93688062981236,93.14556516833491,17.654759694894654
AAPL,82.70129328554847,53.14360498651857,69.14919553228629,9.525024040064112
AMZN,63.416438608335774,43.576639150630385,56.69893776178424,6.884288473857835
BAC,43.11988908046076,26.394260386108304,36.40912942786739,6.83534899724027
F,102.30816608580699,58.34237705452517,77.22075006937129,16.157049451082276
GOOG,51.71087046383315,42.38218041124228,48.409109307713024,2.809749082764251
IBM,57.01239866949817,36.2079636358625,50.79762436471133,6.368777417989328
INTC,56.05844323962994,46.318945389231814,52.161269105984005,3.520460459734027
NVDA,225.53974898136474,196.3907120575306,210.35890463789679,8.923008909728411
XOM,72.84010293066393,54.040529644970874,62.814274073034106,7.397192711148367
,87.24041070546464,,,
