Stocks,Max,Min,Mean,STD
AAL,58.58443295300437,-34.327501127186736,9.923861865278619,6.523740983174383
AAPL,57.50416664068178,-56.91928518965906,-14.920865553931657,20.519549040022042
AMZN,46.41258956211645,-22.513481113183914,5.263138726846697,5.564864829504161
BAC,25.228214629568598,-40.43437956120559,-4.3500734472829325,3.3226995567174136
F,56.25162738902617,-164.8886623446353,-34.78436347711988,17.357842637620582
GOOG,36.571919521728496,-45.3450741203917,-2.8707940164229813,10.217683714122265
IBM,29.26723044191607,-23.59452065899747,3.7526300230070255,3.3423066055354003
INTC,55.87386200084241,-12.97312066994235,14.821564083945685,6.318415076873962
NVDA,209.3325867049896,-126.03475336668951,-25.762494871169718,66.50027015070637
XOM,47.11905386338203,-88.40179177056024,-15.12793288859884,9.897871131118176
,62.2145683707256,,,
