Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,STD
AAL,17.285279836172798,1.2599297581859712,0.0,0.0
AAPL,114.60297331156042,0.3544144367565133,0.0,0.0
AMZN,138.32576909008822,1.982099839004273,0.0,0.0
BAC,23.057432647635437,0.9495382908878905,0.0,0.0
F,26.90239194406866,0.6100024744947465,0.0,0.0
GOOG,99.7102431588716,1.4055534770164786,0.0,0.0
IBM,10.90472399991239,1.4052417015016887,0.0,0.0
INTC,62.01438609112709,0.07961625899280587,0.0,0.0
NVDA,151.48782193881442,2.7527296616224946,0.0,0.0
XOM,1.3017820250354553,0.0,1.3017820250354553,0.0
