Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,107.28448969781766,5.4892038947619906,0.0,0.0
AAPL,65.48350670096,0.4364803731157505,2.8101508853649224,0.0
AMZN,60.23970953864546,0.0,0.0,0.0
BAC,28.655010839192975,1.522918604494603,19.234005870763355,0.0
F,67.26681307079595,1.8584968086375095,0.0,0.0
GOOG,40.892403232321136,0.4779313686063822,0.0,0.0
IBM,39.44154811551712,1.407831239939262,1.9353226599962212,0.0
INTC,56.05844323962994,1.2691359724932403,6.1239960845598915,0.0
NVDA,233.08923303342874,0.2948791872702619,3.423691574765312,0.0
XOM,69.5163756263912,0.5915986119016644,0.0,0.0
,76.79275330947003,1.3348476061220664,3.35271670754497,0.0
