Stocks,Max,Min,Mean,STD
AAL,129.53338103007917,76.72818723484642,103.14885217430219,16.909527526456873
AAPL,78.61474044963826,52.0955513076354,65.30453371234759,8.488516804122892
AMZN,67.56203408103585,52.284433925951234,58.46672954652754,6.461292059848584
BAC,43.11988908046076,31.954543350100764,38.48078867155508,3.7802446139722115
F,90.68396226415094,49.51095337061695,67.63324424472412,13.196621617124423
GOOG,54.322783139626054,41.77087454942494,47.904067869933286,4.186064693271064
IBM,54.63321987699869,36.505202638395915,44.533407753762354,6.729025588579002
INTC,56.05844323962994,43.717162269227956,49.83457838633689,4.360609037592566
NVDA,253.47252763635555,128.58569328612978,208.253890872689,43.65879136345258
XOM,70.46152538032123,45.98887003972635,57.06282349793876,8.26187492312008
,89.84625061782965,,,
