Stocks,Max,Min,Mean,STD
AAL,107.28448969781766,55.963953705501275,77.2212852520325,20.25092521726611
AAPL,65.48350670096,22.90824826531421,53.33858769170634,15.965914417364814
AMZN,60.23970953864546,41.85515530281392,49.62992758836724,6.785701602234009
BAC,28.655010839192975,19.234005870763355,23.869578418363687,3.7104147509058496
F,67.26681307079595,49.382876541087754,59.158368211718745,7.980660805040822
GOOG,40.892403232321136,34.89699345931545,37.325051161328155,2.0772273375375407
IBM,39.44154811551712,26.748975574358873,32.54539047795622,4.546622486691306
INTC,56.05844323962994,43.107953163334265,46.04091830839157,5.037779342248773
NVDA,233.08923303342874,97.6160824230576,169.5487816448298,57.682991793537674
XOM,69.5163756263912,45.98887003972635,54.48288486479462,8.073731783519232
,76.79275330947003,,,
