Stocks,Max,Min,Mean,STD
AAL,108.26190398932845,80.69554395393209,96.14960834735555,8.984025532947678
AAPL,83.58419738934472,25.686273812288935,64.74075314704655,20.387367434657506
AMZN,88.76617413756775,44.01483737920619,61.04385301308057,15.299880431899005
BAC,43.11988908046076,29.2401960315833,37.780249749933866,5.230367128289399
F,74.09675814393529,49.51095337061695,64.40606574923598,8.192443931813404
GOOG,60.49629646982258,40.952141430434374,49.91806812075062,6.5774734021218615
IBM,48.047118437020934,36.702302164512496,43.65050989347252,3.4502695920298603
INTC,56.23593601645509,46.35786151446091,51.45418640491007,3.481890278999413
NVDA,266.7137037757848,210.00041447249112,234.57093010859384,18.918883357007562
XOM,64.76115593786821,57.31430888241462,61.44617284022458,3.0608344549768707
,89.40831333775886,,,
